Name,Type,collecting-iterations,tree-iterations,average-precision,recall
Evaluation/All/log_5_150_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,5,16,0.6716666666666666,0.6150684931506849
Evaluation/All/log_5_150_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,21,1,1
Evaluation/All/log_5_100_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,3,35,0.5654285714285715,0.7109589041095891
Evaluation/All/log_5_100_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,31,1,1
Evaluation/All/log_6_100_20_37.69_38.38_1.78_2.71_0_FLOAT_M_usingTree.txt,PERFECT,0,0,1,1
Evaluation/All/log_4_50_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,8,67,0.6820895522388057,0.7522012578616353
Evaluation/All/log_4_50_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,65,1,1
Evaluation/All/log_3_50_20_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,26,6,0.015151515151515152,0.09689922480620156
Evaluation/All/log_4_50_40_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,6,63,0.15428571428571428,0.16981132075471697
Evaluation/All/log_6_50_20_37.69_38.38_1.78_2.71_0_FLOAT_M_usingTree.txt,PERFECT,0,0,1,1
Evaluation/All/log_5_50_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,14,51,0.6854901960784312,0.6410958904109589
Evaluation/All/log_5_50_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,60,1,1
Evaluation/All/log_5_100_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,4,27,0.1359375,0.14897260273972604
Evaluation/All/log_2_100_60_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,7,19,0.0874074074074074,0.12756756756756757
Evaluation/All/log_1_150_40_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,3,28,0.19541666666666666,0.19780683256010123
Evaluation/All/log_5_50_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,4,75,0.13575,0.18595890410958904
Evaluation/All/log_3_50_60_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,101,4,0.012264150943396227,0.25193798449612403
